universe,screen_rule,controller,splits,ann_return,ann_vol,sharpe,max_dd,turnover
liquid_us_equity_100,vol_adjusted_momentum_63_top10,CMVT_lam0.5_gam0.25,22,0.47384502707900167,0.4024072002471526,1.0464449290072197,-0.1675989193884364,21.622477304434554
liquid_us_equity_100,vol_adjusted_momentum_63_top10,CMVT_lam1.0_gam0.5,22,0.5218680197921602,0.35797505659342366,1.3599141539112283,-0.14320085059154924,9.839473758424495
liquid_us_equity_100,vol_adjusted_momentum_63_top10,CMVT_lam2.0_gam1.0,22,0.3307521316615254,0.24744994839570553,1.41944359821287,-0.10273640078947865,1.991927924196653
liquid_us_equity_100,vol_adjusted_momentum_63_top10,HRB_lb126_ct0.5,22,0.21633566300325582,0.1917634727875882,1.4934502005369756,-0.08430144101537267,9.332798802645934
liquid_us_equity_100,vol_adjusted_momentum_63_top10,HRB_lb63_ct0.3,22,0.18402615955855095,0.19095968188404575,1.380396796747898,-0.08308314089719077,9.525539288706508
liquid_us_equity_100,cluster_capped_momentum_63_top10,EW,22,0.18802192920481542,0.2379422449661817,1.2089420659483252,-0.1033032294455659,1.0000333894311098e-12
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau21_k5,22,0.09204680250148184,0.2574873548069132,0.5956063703867919,-0.12177361094346226,38.21818181814362
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau63_k5,22,0.14425357600375036,0.2653425250937435,0.8231163853848518,-0.1202795068137621,21.818181818160014
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau126_k5,22,0.1906492381288592,0.2729926300671746,0.9833949415828172,-0.12022569201747196,16.218181818165604
liquid_us_equity_100,cluster_capped_momentum_63_top10,CMVT_lam0.5_gam0.25,22,0.36876004693470965,0.42687295869938874,0.7524256409874954,-0.18038077497874647,25.044077869203203
liquid_us_equity_100,cluster_capped_momentum_63_top10,CMVT_lam1.0_gam0.5,22,0.46119892600041174,0.4105870567758645,1.0981103386739448,-0.1754828406048996,12.904729687931972
liquid_us_equity_100,cluster_capped_momentum_63_top10,CMVT_lam2.0_gam1.0,22,0.2905473670780349,0.2896957327590728,1.192059330212222,-0.12678918186969448,3.363373123600799
liquid_us_equity_100,cluster_capped_momentum_63_top10,HRB_lb126_ct0.5,22,0.15751458343781508,0.21417304094658532,1.0322290503938982,-0.09501394048564768,9.404838228789966
liquid_us_equity_100,cluster_capped_momentum_63_top10,HRB_lb63_ct0.3,22,0.1541193851024902,0.21803544225102447,1.0294766702529141,-0.09479157545402052,10.142874273412586
liquid_us_equity_250,momentum_21_top10,EW,22,0.2119721181451169,0.21268349969274694,1.4058221042147843,-0.09734368020192963,1.0000333894311098e-12
liquid_us_equity_250,momentum_21_top10,MRH_tau21_k5,22,0.23514441021548826,0.22801066236140868,1.1444900756023513,-0.10396622586228056,38.636363636325015
liquid_us_equity_250,momentum_21_top10,MRH_tau63_k5,22,0.21638334786220997,0.22706426460073895,1.36658277092699,-0.09662424707070699,21.96363636361441
liquid_us_equity_250,momentum_21_top10,MRH_tau126_k5,22,0.2528657256909122,0.23252995261797152,1.3806012189987173,-0.09851760750590999,16.236363636347406
liquid_us_equity_250,momentum_21_top10,CMVT_lam0.5_gam0.25,22,0.17432355958631887,0.3641024189127755,0.6394677883365627,-0.17046817665183722,26.516318280610314
liquid_us_equity_250,momentum_21_top10,CMVT_lam1.0_gam0.5,22,0.3347706401387155,0.3176477897027659,1.1184436095087436,-0.130184886959429,13.528644352443719
liquid_us_equity_250,momentum_21_top10,CMVT_lam2.0_gam1.0,22,0.09675375572071458,0.23865053634563038,0.8464418775187899,-0.11423454824269004,2.347495370941299
liquid_us_equity_250,momentum_21_top10,HRB_lb126_ct0.5,22,0.14166079908638524,0.19836806773702714,0.981223166718758,-0.09678358616515989,9.840700092160208
liquid_us_equity_250,momentum_21_top10,HRB_lb63_ct0.3,22,0.21321165626677271,0.20020963048273846,1.3986082817182286,-0.0923374088476206,8.943425182203534
liquid_us_equity_250,momentum_63_top10,EW,22,0.2664032337089688,0.23182043044461678,1.4919163551362944,-0.09531750556218171,1.0000333894311098e-12
liquid_us_equity_250,momentum_63_top10,MRH_tau21_k5,22,0.24155292847542206,0.25016617439811945,1.150049968890006,-0.10652013979346743,39.38181818177882
liquid_us_equity_250,momentum_63_top10,MRH_tau63_k5,22,0.15184436130225742,0.2504722720168993,0.8920437669103081,-0.10522553649047905,23.18181818179501
liquid_us_equity_250,momentum_63_top10,MRH_tau126_k5,22,0.1706424284664119,0.25634613922673033,0.9757619154672248,-0.10960384668099156,16.890909090892205
liquid_us_equity_250,momentum_63_top10,CMVT_lam0.5_gam0.25,22,0.17909015660042135,0.35921055441707767,0.5752509866840269,-0.15339692616198272,27.465724574193846
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,22,0.2664247054251322,0.3156335316322535,0.9055815400515557,-0.11978445785868765,14.094053997792654
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,22,0.2801500249891304,0.24997804627123488,1.2787132116971025,-0.10020314986773134,2.6356304441184117
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,22,0.2648746436324906,0.21033342567409663,1.4812620580835267,-0.08690430531770915,9.898754844788327
