universe,screen_rule,controller,split_id,cost_bps,n_assets,ann_return,ann_vol,sharpe,max_dd,turnover
liquid_us_equity_250,momentum_63_top10,CMVT_lam0.5_gam0.25,16,10.0,10,-0.39628914565090545,0.38748894187926575,-1.0227108513805254,-0.15882766768106926,37.90420797223589
liquid_us_equity_250,momentum_63_top10,CMVT_lam0.5_gam0.25,17,10.0,10,-0.5578833901543274,0.3748708364068125,-1.4882016309943626,-0.19803929968641742,51.234322899785845
liquid_us_equity_250,momentum_63_top10,CMVT_lam0.5_gam0.25,18,10.0,10,0.39811441839776807,0.2815656923021782,1.4139308491074796,-0.105119446035009,36.86853770108038
liquid_us_equity_250,momentum_63_top10,CMVT_lam0.5_gam0.25,19,10.0,10,0.37388203402771225,0.3308903687292015,1.1299272186811968,-0.10584272519654991,53.326326224530106
liquid_us_equity_250,momentum_63_top10,CMVT_lam0.5_gam0.25,20,10.0,10,-0.9063967050371464,0.4077839626822099,-2.2227374982406745,-0.23920548917548468,46.738148436452235
liquid_us_equity_250,momentum_63_top10,CMVT_lam0.5_gam0.25,21,10.0,10,-0.11267597434661569,0.5603092372114683,-0.201096049936955,-0.2189441328087729,48.83290286938592
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,0,10.0,10,0.19077678739178028,0.11763841931812066,1.6217217852464962,-0.04253888910986736,0.6001396680511687
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,1,10.0,10,-0.13923968757355265,0.2682145233718287,-0.51913552563298,-0.12522398287964998,5.688079304549575
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,2,10.0,10,0.3089792959025588,0.22283342788887714,1.386593110506088,-0.0959283816954426,5.373258120956804
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,3,10.0,10,-0.5886052819419283,0.6263655020006289,-0.9397153579834249,-0.31416600756755664,3.4027679286677475
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,4,10.0,10,0.8434750299807479,0.5283279493750602,1.5964989756397843,-0.12773402653135824,10.49932932661023
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,5,10.0,10,0.43885556817876203,0.39117614888835567,1.1218873375198868,-0.16325869966387385,3.8654447750511163
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,6,10.0,10,0.37230665435493293,0.33076742856768915,1.1255843901136038,-0.15385938031689828,15.954835253958025
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,7,10.0,10,0.4250330342252706,0.4110869606392921,1.033924874589203,-0.1530875492357433,10.261954244875326
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,8,10.0,10,0.42051565188739026,0.28870552658072085,1.456555601364144,-0.0817139744965778,14.849756982751195
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,9,10.0,10,-0.07588173148560307,0.2699200604366042,-0.2811266838136478,-0.0837784019316794,5.888713401357698
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,10,10.0,10,0.7890573689440337,0.4691874945982199,1.681752770538027,-0.2191775111761094,15.846185008620013
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,11,10.0,10,0.2856717741763277,0.37381586529848715,0.7642045207135826,-0.09306728280745757,11.260197230956983
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,12,10.0,10,-0.15036309368040612,0.2725781404825463,-0.5516329864664351,-0.20673522858349314,8.625822797885819
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,13,10.0,10,-0.02675483297825121,0.20731524216508043,-0.12905386356888263,-0.07397779386619441,15.941630331616004
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,14,10.0,10,0.38016900926150354,0.2098415461052871,1.8116956166008407,-0.08185618827168839,9.14044952673081
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,15,10.0,10,0.9685560691521071,0.33613962910111256,2.8814099418723376,-0.08181409725822963,30.150135834555268
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,16,10.0,10,0.2058490690077006,0.21364645804079568,0.9635033077282766,-0.054666784471981256,21.25848199464481
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,17,10.0,10,-0.012725426759980785,0.21457270519928018,-0.059305897029647774,-0.0816074903454419,24.54513456113094
liquid_us_equity_250,momentum_63_top10,CMVT_lam1.0_gam0.5,18,10.0,10,0.3981299190021028,0.2815506839110251,1.4140612747596975,-0.10510773559345843,21.384245447675404
