scope,config_name,seed,periods,arms,universes,train_fraction,n_updates,episodes_per_update,learning_rate,gamma,used_pufferlib,final_train_reward_mean_25,n_test_periods,rl_total_reward,train_selected_fixed_arm,train_selected_fixed_total_reward,trailing_window_total_reward,test_best_fixed_arm,test_best_fixed_total_reward,period_oracle_total_reward,random_mean_total_reward,random_p05_total_reward,random_p95_total_reward,rl_vs_train_selected_fixed,rl_vs_trailing_window,rl_vs_test_best_fixed,rl_vs_random_mean,oracle_gap,dominant_chosen_arm,chosen_arm_count
liquid_us_equity_100,baseline,23,22,20,liquid_us_equity_100,0.68,320,10,0.03,0.98,True,0.6089367203859147,8,0.6839780770242214,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,-0.14319396391510963,0.2086220331341027,-0.1515182889997959,0.026666049467166886,0.6708707846701145,momentum_63_top10|MRH_tau126_k5,6
liquid_us_equity_100,baseline,31,22,20,liquid_us_equity_100,0.68,320,10,0.03,0.98,True,0.6176055690014618,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,baseline,43,22,20,liquid_us_equity_100,0.68,320,10,0.03,0.98,True,0.6053780922667429,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,aggressive,3,22,20,liquid_us_equity_100,0.68,420,12,0.06,0.99,True,0.6137597773877982,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,aggressive,7,22,20,liquid_us_equity_100,0.68,420,12,0.06,0.99,True,0.6297393145788132,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,aggressive,11,22,20,liquid_us_equity_100,0.68,420,12,0.06,0.99,True,0.6200078603378886,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,aggressive,17,22,20,liquid_us_equity_100,0.68,420,12,0.06,0.99,True,0.6048664988923762,8,0.7988879873882979,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,-0.02828405355103314,0.3235319434981792,-0.03660837863571942,0.14157595983124338,0.555960874306038,momentum_21_top10|MRH_tau126_k5,6
liquid_us_equity_100,aggressive,23,22,20,liquid_us_equity_100,0.68,420,12,0.06,0.99,True,0.614397141267212,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,aggressive,31,22,20,liquid_us_equity_100,0.68,420,12,0.06,0.99,True,0.6402756470480685,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
liquid_us_equity_100,aggressive,43,22,20,liquid_us_equity_100,0.68,420,12,0.06,0.99,True,0.599523118888131,8,0.8271720900665969,momentum_21_top10|MRH_tau126_k5,0.827172040939331,0.4753560438901187,cluster_capped_momentum_63_top10|EW,0.8354963660240173,1.354848861694336,0.6573120275570545,0.3847251608967781,0.9194366842508316,4.912726581096649e-08,0.35181604617647816,-0.008324275957420468,0.16986006250954233,0.5276767716277391,momentum_21_top10|MRH_tau126_k5,8
