universe,controller,split_id,cost_bps,train_end,validation_end,evaluation_start,evaluation_end,ann_return,ann_vol,sharpe,max_dd,calmar
liquid_us_equity_100,EW,20,10.0,2024-01-04,2024-04-05,2024-04-08,2024-07-08,0.16506898298490702,0.10705420730224847,1.5419196231804533,-0.04400833031035123,3.750857663016817
liquid_us_equity_100,EW,21,0.0,2024-04-05,2024-07-08,2024-07-09,2024-10-04,0.2890562371253034,0.16108292963978155,1.7944560467698538,-0.0762259089513222,3.7920995774035613
liquid_us_equity_100,EW,21,10.0,2024-04-05,2024-07-08,2024-07-09,2024-10-04,0.2890562371253025,0.16108292963978163,1.7944560467698474,-0.07622590895132253,3.7920995774035333
liquid_us_equity_100,MRH_tau21_k5,0,0.0,2019-01-02,2019-04-03,2019-04-04,2019-07-03,-0.31463731438675735,0.1628250938309666,-1.9323637836282102,-0.1394633229501101,-2.2560577772627415
liquid_us_equity_100,MRH_tau21_k5,0,10.0,2019-01-02,2019-04-03,2019-04-04,2019-07-03,-0.3354597066124887,0.16262908158289738,-2.0627289003008427,-0.14255850127011982,-2.3531371585795964
liquid_us_equity_100,MRH_tau21_k5,1,0.0,2019-04-03,2019-07-03,2019-07-05,2019-10-02,-0.34446321908736,0.16542528867587494,-2.082288759127993,-0.12003775237930092,-2.8696240329129066
liquid_us_equity_100,MRH_tau21_k5,1,10.0,2019-04-03,2019-07-03,2019-07-05,2019-10-02,-0.36682470414257473,0.16559572257954375,-2.215182242791058,-0.12355408152078973,-2.9689403994143433
liquid_us_equity_100,MRH_tau21_k5,2,0.0,2019-07-03,2019-10-02,2019-10-03,2020-01-02,0.9021694491351058,0.12201999546081488,7.393619756504843,-0.01952819219741031,46.198308577101514
liquid_us_equity_100,MRH_tau21_k5,2,10.0,2019-07-03,2019-10-02,2019-10-03,2020-01-02,0.8826966753146652,0.12041334048913913,7.330555499263396,-0.019528192197410088,45.20114644234867
liquid_us_equity_100,MRH_tau21_k5,3,0.0,2019-10-02,2020-01-02,2020-01-03,2020-04-02,-0.5049601922770073,0.5674522810805597,-0.8898725216410392,-0.29809200712938155,-1.6939742770632031
liquid_us_equity_100,MRH_tau21_k5,3,10.0,2019-10-02,2020-01-02,2020-01-03,2020-04-02,-0.5222302057839303,0.5679737215713492,-0.9194619151361706,-0.29921505991797315,-1.745333961216221
liquid_us_equity_100,MRH_tau21_k5,4,0.0,2020-01-02,2020-04-02,2020-04-03,2020-07-02,0.8730261221118609,0.40747471001478547,2.142528359804318,-0.13854011999270976,6.301612284957596
liquid_us_equity_100,MRH_tau21_k5,4,10.0,2020-01-02,2020-04-02,2020-04-03,2020-07-02,0.8541012061644442,0.4083014309118618,2.0918398553120023,-0.1399184558007197,6.104278390370475
