Date,equity
2022-03-11,1007661.3742233639
2022-03-14,1006978.3546009121
2022-03-15,1031303.9349693964
2022-03-16,1023570.233892208
2022-03-17,1045762.9644197919
2022-03-18,1012547.9767450729
2022-03-21,1015458.2878937981
2022-03-22,1017861.3847505391
2022-03-23,1030155.0878507018
2022-03-24,1023116.1146353378
2022-03-25,1030975.8587606561
2022-03-28,1047719.7906037319
2022-03-29,1074988.8103340287
2022-03-30,1064213.5614690748
2022-03-31,1053701.5398217451
2022-04-01,1075200.824248594
2022-04-04,1062538.9038328729
2022-04-05,1066498.8347939025
2022-04-06,1075563.332558431
2022-04-07,1064157.4140783332
2022-04-08,1035028.3811049801
2022-04-11,1000819.8468847643
2022-04-12,950982.1654989494
2022-04-13,939030.2242978857
2022-04-14,954288.93517929
2022-04-18,924375.1983172491
2022-04-19,932270.9431009868
2022-04-20,954580.8684707758
2022-04-21,959875.5294544124
2022-04-22,968421.3577917592
2022-04-25,1000874.9934130581
2022-04-26,998600.913494104
2022-04-27,980830.7138305496
2022-04-28,976718.3731656144
2022-04-29,971768.2224399584
2022-05-02,983508.7798401406
2022-05-03,978286.956520485
2022-05-04,978944.001017758
2022-05-05,992942.0053313767
2022-05-06,993735.8075333206
2022-05-09,985667.2673072204
2022-05-10,982122.5819671236
2022-05-11,976731.6460208365
2022-05-12,974411.9603977719
2022-05-13,990741.6401635228
2022-05-16,979187.9554165568
2022-05-17,1002393.1079665669
2022-05-18,1006894.078190337
2022-05-19,1016958.9215966573
2022-05-20,1010051.0555524451
2022-05-23,1012290.3964783904
2022-05-24,1006302.8829883478
2022-05-25,1029249.6759022742
2022-05-26,1050134.063682358
2022-05-27,1057022.0864976652
2022-05-31,1055563.9231086327
2022-06-01,1055605.673621926
2022-06-02,1071662.8610055225
2022-06-03,1078864.8070033563
2022-06-06,1081131.5020216713
2022-06-07,1080134.0577127319
2022-06-08,1075014.669332009
2022-06-09,1097534.4484045655
2022-06-10,1098309.0494938688
2022-06-13,1119215.502262186
2022-06-14,1126960.8106365316
2022-06-15,1123279.9301292016
2022-06-16,1110951.0895415826
2022-06-17,1115119.9274823493
2022-06-21,1101184.4888498913
2022-06-22,1077700.9896309804
2022-06-23,1072109.1702276717
2022-06-24,1075492.7895654915
2022-06-27,1088507.5851599048
2022-06-28,1052750.2260032434
2022-06-29,1048217.7050128179
2022-06-30,1039304.3816653029
2022-07-01,1033692.6722323163
2022-07-05,1044197.3459358043
2022-07-06,1034293.9408456879
2022-07-07,1034244.0697805597
2022-07-08,1058275.2498332043
2022-07-11,1064677.4047634278
2022-07-12,1080158.1042198623
2022-07-13,1091298.6397184157
2022-07-14,1049269.380848106
2022-07-15,1059578.9563930966
2022-07-18,1030869.9188539482
2022-07-19,1019785.7419357746
2022-07-20,1025405.3656938025
2022-07-21,1014278.3778899511
2022-07-22,998879.1413650365
2022-07-25,987861.420267783
2022-07-26,974700.2940187849
2022-07-27,959781.1296016937
2022-07-28,954930.419287447
2022-07-29,969742.2569225852
2022-08-01,945770.2789382689
2022-08-02,925181.9211401867
2022-08-03,951971.9643469107
2022-08-04,986758.6522352126
2022-08-05,985121.3636926059
2022-08-08,972790.2517262785
2022-08-09,948285.4600864564
2022-08-10,947248.209279069
2022-08-11,942013.0891295515
2022-08-12,934349.3333181369
2022-08-15,959010.1639508269
2022-08-16,936625.5708072698
2022-08-17,961813.2527689732
2022-08-18,973117.2674658076
2022-08-19,964460.5793686269
2022-08-22,954735.0899647279
2022-08-23,976812.2596643207
2022-08-24,985948.7279283166
2022-08-25,1000311.9503576419
2022-08-26,994097.7017752137
2022-08-29,987941.9676549096
2022-08-30,1012806.8504405259
2022-08-31,994196.7087351449
2022-09-01,996742.7415257109
2022-09-02,963481.128296719
2022-09-06,944693.9711200242
2022-09-07,957831.520489284
2022-09-08,970959.7653151345
2022-09-09,978841.1210170125
2022-09-12,965728.8796575447
2022-09-13,1028418.3449067404
2022-09-14,1038930.8238581825
2022-09-15,1025884.9693385885
2022-09-16,1039176.7599777567
2022-09-19,1032897.2539177946
2022-09-20,1023087.1068611605
2022-09-21,1029614.3206644268
2022-09-22,1026878.8284767012
2022-09-23,1042828.915648641
2022-09-26,1052462.5405461246
2022-09-27,1053105.2934521427
2022-09-28,1036605.7564995018
2022-09-29,1031636.5580764156
2022-09-30,1070300.001234325
2022-10-03,1068569.871587685
2022-10-04,1063829.9149791074
2022-10-05,1049914.6957161617
2022-10-06,1038098.0114850833
2022-10-07,1034966.438345714
2022-10-10,1052484.6289548306
2022-10-11,1047983.2423285778
2022-10-12,1067016.6837084042
2022-10-13,1072533.6121686292
2022-10-14,1065061.6882655993
2022-10-17,1034799.9838848514
2022-10-18,1023416.4204833844
2022-10-19,1008973.4040800844
2022-10-20,1015103.9035686033
2022-10-21,1029770.7254169055
2022-10-24,1017359.8711383034
2022-10-25,1022749.1168614782
2022-10-26,1019385.5668192126
2022-10-27,1006085.8395729183
2022-10-28,1024792.807967868
2022-10-31,1020738.7285482816
2022-11-01,1014187.6230496294
2022-11-02,1023377.2340600757
2022-11-03,999942.5166798704
2022-11-04,1022730.2646776992
2022-11-07,1031958.2302512343
2022-11-08,1031502.0407083349
2022-11-09,1046297.664401903
2022-11-10,1045661.0214543492
2022-11-11,1050679.6248316288
2022-11-14,1049638.8181446567
2022-11-15,1032336.0327117719
2022-11-16,1024238.3588849053
2022-11-17,1040806.0590141768
2022-11-18,1052456.5311026068
2022-11-21,1048121.338696165
2022-11-22,1044910.6850726972
2022-11-23,1059354.9370502622
2022-11-25,1065769.958724231
2022-11-28,1049236.05453633
2022-11-29,1064963.0427975527
2022-11-30,1077183.8055925688
2022-12-01,1091474.5700368448
2022-12-02,1082824.8863628362
2022-12-05,1076470.4501709545
2022-12-06,1088046.2634844205
2022-12-07,1071015.8574421664
2022-12-08,1064841.642513937
2022-12-09,1065707.697173297
2022-12-12,1083214.6002057916
2022-12-13,1084595.3675093995
2022-12-14,1113643.9972727322
2022-12-15,1103454.193915233
2022-12-16,1096930.8025420094
2022-12-19,1072883.3054502003
2022-12-20,1067977.2934938075
2022-12-21,1068199.7461988155
2022-12-22,1050232.4672505667
2022-12-23,1049808.531911675
2022-12-27,1046403.5730743168
2022-12-28,1037519.4683374587
2022-12-29,1048672.835597544
2022-12-30,1068815.9501286151
2023-01-03,1069688.3967844602
2023-01-04,1056112.4266590904
2023-01-05,1056055.6391512356
2023-01-06,1038437.9910522646
2023-01-09,1022252.6396008932
2023-01-10,1026721.3667470438
2023-01-11,1039543.0839542139
2023-01-12,1036681.0237207595
2023-01-13,1057856.1153300647
2023-01-17,1046124.593235649
2023-01-18,1056916.7734092663
2023-01-19,1065447.1875951686
2023-01-20,1043866.7196067723
2023-01-23,1052126.553533738
2023-01-24,1063482.1779979279
2023-01-25,1062922.878203093
2023-01-26,1062907.6183554055
2023-01-27,1080894.5584449065
2023-01-30,1091711.5303071472
2023-01-31,1105613.1749862088
2023-02-01,1101258.6034334467
2023-02-02,1100554.0743838777
2023-02-03,1101981.9954020202
2023-02-06,1099578.7572742372
2023-02-07,1101471.3056014369
2023-02-08,1103472.9859381344
2023-02-09,1098569.0890398137
2023-02-10,1111693.458763376
2023-02-13,1103374.500198156
2023-02-14,1104324.3803751776
2023-02-15,1103896.6807511558
2023-02-16,1118284.7853535437
2023-02-17,1109175.7493401587
2023-02-21,1108095.634953101
2023-02-22,1111372.9622063774
2023-02-23,1097776.1231572174
2023-02-24,1085012.2868734393
2023-02-27,1087648.618609649
2023-02-28,1099936.7677952892
2023-03-01,1103001.8695710325
2023-03-02,1093656.6927641411
2023-03-03,1080017.7665370859
2023-03-06,1070917.4826369775
2023-03-07,1086177.2401030255
2023-03-08,1083731.9733981215
2023-03-09,1080895.7680924947
2023-03-10,1076657.907819459
2023-03-13,1069284.381068738
2023-03-14,1064307.9889630105
2023-03-15,1062928.9369166938
2023-03-16,1049892.982804094
2023-03-17,1059900.9555066873
2023-03-20,1068224.0620835207
2023-03-21,1069344.6435859893
2023-03-22,1072440.5479870772
2023-03-23,1055877.90779257
2023-03-24,1038416.5218269749
2023-03-27,1037031.2102400501
2023-03-28,1053551.6435328296
2023-03-29,1054748.8263254426
2023-03-30,1060034.9644716773
2023-03-31,1063969.4395941736
2023-04-03,1083799.1520944645
2023-04-04,1075327.1350224526
2023-04-05,1076232.3604504974
2023-04-06,1079397.9811661784
2023-04-10,1084581.0884053847
2023-04-11,1090458.5062935306
2023-04-12,1109519.6837974044
2023-04-13,1117303.9041717781
2023-04-14,1118127.7731332022
2023-04-17,1135660.4941110606
2023-04-18,1137285.5797393946
2023-04-19,1128179.542114837
2023-04-20,1123693.9669886392
2023-04-21,1124832.6987277602
2023-04-24,1112085.9715726343
2023-04-25,1111640.3978500015
