run_id,split_id,universe_name,universe_rule,screen_rule,holding_budget,controller,cost_bps,train_start,train_end,evaluation_start,evaluation_end,gross_return,net_return,turnover,sharpe,max_drawdown,selected_for_paper,source_path
screened_candidate_pilot,8,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,25.0,2018-01-02,2020-12-31,2021-04-06,2021-07-02,0.2083514907170958,0.2083514907170958,1.0000333894311098e-12,1.60293777286578,-0.0499156049938825,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,9,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,0.0,2018-01-02,2021-04-05,2021-07-06,2021-10-01,-0.0928268042380953,-0.0928268042380953,1.0000333894311098e-12,-0.6609559359032912,-0.0604584386891151,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,9,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,10.0,2018-01-02,2021-04-05,2021-07-06,2021-10-01,-0.0928268042380948,-0.0928268042380948,1.0000333894311098e-12,-0.6609559359032883,-0.0604584386891152,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,9,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,25.0,2018-01-02,2021-04-05,2021-07-06,2021-10-01,-0.0928268042380948,-0.0928268042380948,1.0000333894311098e-12,-0.6609559359032883,-0.0604584386891152,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,10,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,0.0,2018-01-02,2021-07-02,2021-10-04,2021-12-31,0.5361401702642676,0.5361401702642676,1.0000333894311098e-12,3.4479712086640664,-0.0259075287617456,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,10,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,10.0,2018-01-02,2021-07-02,2021-10-04,2021-12-31,0.5361401702642672,0.5361401702642672,1.0000333894311098e-12,3.4479712086640633,-0.0259075287617456,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,10,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,25.0,2018-01-02,2021-07-02,2021-10-04,2021-12-31,0.5361401702642681,0.5361401702642681,1.0000333894311098e-12,3.4479712086640717,-0.0259075287617456,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,11,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,0.0,2018-01-02,2021-10-01,2022-01-03,2022-04-01,0.1000470740789385,0.1000470740789385,1.0000333894311098e-12,0.3938984842372016,-0.1519835668744512,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,11,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,10.0,2018-01-02,2021-10-01,2022-01-03,2022-04-01,0.1000470740789385,0.1000470740789385,1.0000333894311098e-12,0.3938984842372016,-0.1519835668744512,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,11,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,25.0,2018-01-02,2021-10-01,2022-01-03,2022-04-01,0.1000470740789416,0.1000470740789416,1.0000333894311098e-12,0.393898484237214,-0.1519835668744508,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,12,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,0.0,2018-01-02,2021-12-31,2022-04-04,2022-07-05,-0.3605324652203072,-0.3605324652203072,1.0000333894311098e-12,-1.543096952695964,-0.1444933216154819,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
screened_candidate_pilot,12,liquid_us_equity_100,fixed_current_constituents_symbol_limited,momentum_21_top10,10,EW,10.0,2018-01-02,2021-12-31,2022-04-04,2022-07-05,-0.3605324652203077,-0.3605324652203077,1.0000333894311098e-12,-1.543096952695966,-0.1444933216154819,False,metrics/screened_candidate_pilot/liquid_us_equity_100/all_trials.csv
