universe,screen_rule,holding_budget,controller,splits,mean_ann_return,mean_ann_vol,mean_sharpe,worst_split_drawdown,mean_turnover,selected_for_paper,source_path
liquid_us_equity_100,vol_adjusted_momentum_63_top10,10,MRH_tau21_k5,22,0.1293631544031944,0.2211837906826035,0.9020695610563952,-0.419629476319758,39.27272727268802,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,vol_adjusted_momentum_63_top10,10,MRH_tau126_k5,22,0.1470880622892802,0.2309502630795786,0.8918182017817077,-0.3525702834009264,16.19999999998381,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_100,vol_adjusted_momentum_63_top10,10,MRH_tau63_k5,22,0.1278942118765556,0.2303185725462527,0.8043166556477387,-0.3243913448304216,22.96363636361341,False,metrics/screened_candidate_pilot/liquid_us_equity_100/summary.csv
liquid_us_equity_250,cluster_capped_momentum_63_top10,10,EW,11,0.0766685454356237,0.1941701235936158,0.4975693372309039,-0.1569888811153791,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,cluster_capped_momentum_63_top10,10,MRH_tau63_k5,11,0.0351457002518537,0.2078694633847285,0.3540383200108002,-0.1965240940312583,13.836363636349802,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,cluster_capped_momentum_63_top10,10,MRH_tau21_k5,11,0.0073381869232864,0.2006587593829447,0.2044328488115882,-0.1440539580025525,24.309090909066597,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,cluster_capped_momentum_63_top10,10,MRH_tau126_k5,11,-0.0618599809164922,0.2135051794907118,-0.2003132895406355,-0.1965240940312587,10.4181818181714,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,low_volatility_63_top10,10,EW,11,0.1118208559257063,0.1409139384438904,0.8592181159536008,-0.1053918728589278,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,low_volatility_63_top10,10,MRH_tau21_k5,11,0.086756283700175,0.1497713751790642,0.7549799282930933,-0.1648103417032194,24.090909090885,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,low_volatility_63_top10,10,MRH_tau63_k5,11,0.0831379033036283,0.1503154457135613,0.5969740311401893,-0.1434345097876119,14.1272727272586,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,low_volatility_63_top10,10,MRH_tau126_k5,11,0.0819609449077637,0.1484913495111677,0.5846127043912692,-0.1569479184415588,11.109090909079804,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,momentum_21_top10,10,MRH_tau63_k5,11,0.0658606007123611,0.2086946252363266,0.5242734879864396,-0.1770515923917647,14.1272727272586,True,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,momentum_21_top10,10,EW,11,0.0366359106390422,0.1932653411987829,0.3455960028375642,-0.1672740188644115,1.0000333894311098e-12,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,momentum_21_top10,10,MRH_tau126_k5,11,0.0101220592960383,0.2174928913569684,0.0125952426832867,-0.1821230148877113,10.7454545454438,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,momentum_21_top10,10,MRH_tau21_k5,11,-0.0238948953547812,0.2021677307149552,-0.0578395826845841,-0.1427309309392799,24.454545454521,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,momentum_63_top10,10,EW,11,0.0837804141287359,0.1966313930650511,0.5560593031416079,-0.1569888811153791,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,momentum_63_top10,10,MRH_tau63_k5,11,0.0345519314920903,0.2126988728560245,0.3151662210759371,-0.1965240940312583,13.7999999999862,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,momentum_63_top10,10,MRH_tau21_k5,11,0.0108480489306048,0.2046038381918942,0.2086873165944318,-0.1440539580025525,24.272727272703,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,momentum_63_top10,10,MRH_tau126_k5,11,-0.048129954821564,0.2135180640046575,-0.0858092533844688,-0.1965240940312587,10.709090909080205,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,vol_adjusted_momentum_63_top10,10,EW,11,0.08931571249235,0.1843682297589008,0.5992259192605487,-0.1422641244803475,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,vol_adjusted_momentum_63_top10,10,MRH_tau21_k5,11,0.0504577042353132,0.193125630258939,0.4341949080050806,-0.1440539580025525,24.381818181793793,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,vol_adjusted_momentum_63_top10,10,MRH_tau63_k5,11,0.0327425278590533,0.2007859536590774,0.3377593869762516,-0.1965240940312582,13.9454545454406,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_250,vol_adjusted_momentum_63_top10,10,MRH_tau126_k5,11,-0.0397485454968224,0.2044137531329726,-0.0181619639761957,-0.1965240940312587,10.2363636363534,False,metrics/screened_candidate_pilot/liquid_us_equity_250/summary.csv
liquid_us_equity_500,cluster_capped_momentum_63_top10,10,MRH_tau21_k5,9,0.3494377332651726,0.2191860219572874,1.641359278271237,-0.157744495265887,21.9333333333114,True,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,cluster_capped_momentum_63_top10,10,EW,9,0.2691928749489466,0.1950716241056761,1.4480018116202475,-0.1401094291188203,1.0000333894311098e-12,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,cluster_capped_momentum_63_top10,10,MRH_tau126_k5,9,0.3170035295175014,0.2299411604233618,1.391211727470704,-0.1369066087553333,9.577777777768198,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,cluster_capped_momentum_63_top10,10,MRH_tau63_k5,9,0.2062516936216592,0.2225025977183706,0.8477480538607244,-0.1415783539882812,12.555555555543002,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,low_volatility_63_top10,10,EW,9,0.1615311980759434,0.129816962973366,1.3867600421534738,-0.1499516057068682,1.0000333894311098e-12,True,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,low_volatility_63_top10,10,MRH_tau21_k5,9,0.1288220734970288,0.1371680976922628,1.0664901043608213,-0.141976713272323,22.8666666666438,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,low_volatility_63_top10,10,MRH_tau63_k5,9,0.132693174017652,0.1376319781321625,1.048481920740522,-0.1386621979134727,13.044444444431402,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,low_volatility_63_top10,10,MRH_tau126_k5,9,0.051355670312912,0.1392458283146334,0.5320816319721876,-0.2095866381326877,9.7555555555458,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,momentum_21_top10,10,MRH_tau63_k5,9,0.3214874583677577,0.2143352927942928,1.482785510712627,-0.1329587215548181,12.1999999999878,True,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,momentum_21_top10,10,EW,9,0.2188162929915895,0.1868504036223073,1.2995592235431097,-0.1365415118552732,1.0000333894311098e-12,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,momentum_21_top10,10,MRH_tau126_k5,9,0.2602080938604437,0.2196541825449353,1.1866136910246228,-0.1381287138379214,8.777777777769,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,momentum_21_top10,10,MRH_tau21_k5,9,0.1987594701296605,0.2058927829561127,1.034599412575172,-0.1570261952158717,21.7111111110894,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,momentum_63_top10,10,MRH_tau21_k5,9,0.3559183483629768,0.2199678446286676,1.6662647498237702,-0.157744495265887,22.0222222222002,True,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,momentum_63_top10,10,EW,9,0.2710139094687257,0.195501380608583,1.4617966756943306,-0.1401094291188203,1.0000333894311098e-12,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,momentum_63_top10,10,MRH_tau126_k5,9,0.3111589738192296,0.2301861389148282,1.3656383502979643,-0.1369066087553333,9.888888888879,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,momentum_63_top10,10,MRH_tau63_k5,9,0.2047505434694032,0.2209856885537057,0.8513499190997359,-0.1415783539882812,12.5999999999874,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,vol_adjusted_momentum_63_top10,10,MRH_tau21_k5,9,0.3511220846395793,0.2083113569012892,1.7564080110227396,-0.1546492039959892,22.0666666666446,True,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,vol_adjusted_momentum_63_top10,10,EW,9,0.2695742910451821,0.1880002348540007,1.5096676690685649,-0.1283318728927105,1.0000333894311098e-12,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,vol_adjusted_momentum_63_top10,10,MRH_tau126_k5,9,0.2723371793028122,0.2270174631678259,1.237430790175815,-0.1510226387180264,8.999999999991,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
liquid_us_equity_500,vol_adjusted_momentum_63_top10,10,MRH_tau63_k5,9,0.1785108825349985,0.2111090919398612,0.7330378359708974,-0.1395366819390968,11.8444444444326,False,metrics/screened_candidate_pilot/liquid_us_equity_500/summary.csv
