universe,screen_rule,controller,mean_turnover,median_turnover,p90_turnover
liquid_us_equity_250,vol_adjusted_momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_250,vol_adjusted_momentum_63_top10,MRH_tau126_k5,10.2363636363534,10.5999999999894,12.999999999987
liquid_us_equity_250,vol_adjusted_momentum_63_top10,MRH_tau21_k5,24.381818181793797,24.999999999975,33.7999999999662
liquid_us_equity_250,vol_adjusted_momentum_63_top10,MRH_tau63_k5,13.945454545440601,14.599999999985402,17.399999999982604
liquid_us_equity_500,cluster_capped_momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_500,cluster_capped_momentum_63_top10,MRH_tau126_k5,9.5777777777682,8.599999999991399,12.51999999998748
liquid_us_equity_500,cluster_capped_momentum_63_top10,MRH_tau21_k5,21.9333333333114,20.999999999979003,30.35999999996964
liquid_us_equity_500,cluster_capped_momentum_63_top10,MRH_tau63_k5,12.555555555543002,12.1999999999878,18.03999999998197
liquid_us_equity_500,low_volatility_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_500,low_volatility_63_top10,MRH_tau126_k5,9.7555555555458,10.199999999989805,12.759999999987242
liquid_us_equity_500,low_volatility_63_top10,MRH_tau21_k5,22.866666666643802,22.1999999999778,30.83999999996917
liquid_us_equity_500,low_volatility_63_top10,MRH_tau63_k5,13.044444444431402,13.399999999986605,16.279999999983726
liquid_us_equity_500,momentum_21_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_500,momentum_21_top10,MRH_tau126_k5,8.777777777769002,8.1999999999918,12.599999999987402
liquid_us_equity_500,momentum_21_top10,MRH_tau21_k5,21.711111111089398,20.999999999978996,29.79999999997021
liquid_us_equity_500,momentum_21_top10,MRH_tau63_k5,12.199999999987801,11.3999999999886,15.559999999984443
liquid_us_equity_500,momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
